28,24/12/1961,1960s,23:00,Knott End-on-Sea,England,United Kingdom,53.92724141,-2.97556986,Triangle,"Very large triangle stationary above the old air base on Xmas Eve seen from my younger brother’s bedroom with my mother and father,",N,https://nuforc.org/sighting/?id=198720
29,15/11/1962,1960s,17:00,Los Angeles,CA,USA,34.0564552,-118.2579761,Egg,"Matte egg-shaped object, 10 ft from me, 40 ft altitude, 20 Feet Length, Self-Illuminating, Very Low-Frequency Rotational Humming Sound",N,https://nuforc.org/sighting/?id=198672
30,01/01/1963,1960s,15:33,Mendota,CA,USA,36.75333402,-120.3813297,Disk,Mom and Father witness saucer,N,https://nuforc.org/sighting/?id=187034
31,12/06/1963,1960s,16:00,Salem,NM,USA,32.7129139,-107.2046201,Oval,Broad daylight. Objects easily seen.,N,https://nuforc.org/sighting/?id=192665
32,18/08/1963,1960s,20:50,Southbridge,MA,USA,42.07515587,-72.03428571,Circle,"UFO on ground in field, 100 yds away—ultra-bright lights, mist. Small beings entered it, then it shot into sky at great speed.",N,https://nuforc.org/sighting/?id=189218
33,30/08/1963,1960s,21:00,McPherson,KS,USA,38.3711893,-97.66582327,Light,Light appeared over our car and followed us as we drove for 10 to 15 miles.,N,https://nuforc.org/sighting/?id=184750
34,12/02/1964,1960s,00:00,Corpus Christi,TX,USA,27.79566087,-97.40622172,Oval,"On or about Feb 12, 1964, 5 disk shaped flying saucers were observed in a V formation. They were hovering at the time.",N,https://nuforc.org/sighting/?id=194052
35,01/03/1964,1960s,19:00,Atlanta,GA,USA,33.74966021,-84.38965459,Disk,"Disk shaped craft with center ""row"" of translucent, ""panels/windows"" that hovered motionless over my house for approximately 5 minutes.",N,https://nuforc.org/sighting/?id=198531
36,06/06/1964,1960s,11:00,Hancock,NY,USA,41.95396962,-75.28040404,Other,Unknown UFO wingless military jet aircraft flying above highway,N,https://nuforc.org/sighting/?id=177586
37,07/06/1964,1960s,18:00,Aurora,CO,USA,39.72943758,-104.8299913,Disk,"We spotted an object about 1/2 mile away in the sky, close to land, moving erratically like nothing we've ever seen before.",N,https://nuforc.org/sighting/?id=181773
38,15/08/1964,1960s,21:00,Binghamton,NY,USA,42.0970984,-75.91217021,Disk,Witness craft flying at treetop level following along roadway behind my house,N,https://nuforc.org/sighting/?id=192572
39,30/08/1964,1960s,20:06,Bronx (Whitestone Bridge (driving toward),NY,USA,40.84483855,-73.86517434,Disk,Saw the object about 5 miles from the bridge and the while on the bridge.,N,https://nuforc.org/sighting/?id=177321
40,03/10/1964,1960s,21:00,Seattle,WA,USA,47.60535638,-122.3350022,Disk,"Sighting craft, abduction",N,https://nuforc.org/sighting/?id=197086
41,10/11/1964,1960s,18:00,Lansdale,PA,USA,40.24144404,-75.28394875,Circle,Watched stationary disc at dusk for 15 minutes until it disappeared & then came FAST with blinding lights at & over me.,N,https://nuforc.org/sighting/?id=196196
42,06/06/1965,1960s,18:30,Oxford,GA,USA,33.61904059,-83.86750479,Circle,"Flew slowly directly over us, 150’ off the ground.",N,https://nuforc.org/sighting/?id=187912
43,01/07/1965,1960s,14:00,Lynnwood,WA,USA,47.8211786,-122.3156198,Disk,Various lifelong encounters with UFO's and entities,N,https://nuforc.org/sighting/?id=181884
44,14/07/1965,1960s,19:30,Memphis,TN,USA,35.14917931,-90.05441996,Disk,"Midsummer, sitting outside a small apartment with another adult and several children suddenly began to hear low humming sound above us.",N,https://nuforc.org/sighting/?id=170180
45,15/07/1965,1960s,20:00,South Holland,IL,USA,41.60100915,-87.60730134,Circle,It made no sound and hovered silent above our yard. It was about the size of our 2.5 car garage. Showed up suddenly and left suddenly,N,https://nuforc.org/sighting/?id=185741
46,16/07/1965,1960s,19:24,Torrance,CA,USA,33.83752452,-118.3418834,Circle,At dusk coming from the ocean,N,https://nuforc.org/sighting/?id=182655
47,07/08/1965,1960s,22:00,Iron River,MI,USA,46.09280744,-88.64249013,Light,Row of lights with outline of craft around it hovering over Lake Emily then shot away.,N,https://nuforc.org/sighting/?id=184508
48,10/08/1965,1960s,05:00,Fremont,CA,USA,37.54837128,-121.9880188,Oval,"Bright silver-white oval body, bright gold legs with landing pads, gold, L-shaped appendage with a red light. Slow rotation, silent.",N,https://nuforc.org/sighting/?id=185915
